job_title,Skills_Text,Skills_Text_Display,Cluster,Role
Internship - Machine Learning Engineer & Data Science,"aws, azure, c, data science, data wrangling, databricks, feature engineering, gcp, machine learning, pandas, python, pytorch, r, scala, spark, sql","aws, azure, c, data science, data wrangling, databricks, feature engineering, gcp, machine learning,...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, azure, c, c++, databases, deep learning, docker, git, hadoop, kubernetes, machine learning, python, pytorch, r, scala, scikit learn, spark, sql, tensorflow","aws, azure, c, c++, databases, deep learning, docker, git, hadoop, kubernetes, machine learning, pyt...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
Machine Learning Engineer,"aws, azure, c, cloud computing, computer vision, deep learning, diffusion models, docker, git, kubernetes, large language models, machine learning, nlp, python, pytorch, r, rest api, scala, software engineering, transformers, vision language models","aws, azure, c, cloud computing, computer vision, deep learning, diffusion models, docker, git, kuber...",3,"Cluster 3 (gcp, kubernetes, aws, azure, docker)"
"Machine Learning Engineer, Training","aws, azure, c, c++, cloud computing, deep learning, distributed training algorithms, gcp, machine learning, neural networks, python, pytorch, r, scala, tensorflow","aws, azure, c, c++, cloud computing, deep learning, distributed training algorithms, gcp, machine le...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer,"c, c++, data science, git, github, machine learning, python, pytorch, r, software engineering, spark, sql, tensorflow","c, c++, data science, git, github, machine learning, python, pytorch, r, software engineering, spark...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
2025 Intern - Machine Learning Engineer AI/ML,"aws, c, data analytics, deep learning, distributed frameworks, git, java, machine learning, matlab, python, r, scala, scikit learn, statistical modeling","aws, c, data analytics, deep learning, distributed frameworks, git, java, machine learning, matlab, ...",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Data Scientist - Healthcare & Clinical Data (Remote),"c, data science, git, python, r, spark, sql, statistical modeling","c, data science, git, python, r, spark, sql, statistical modeling",1,"Cluster 1 (c, r, data science, machine learning, scala)"
Machine Learning Software Engineer (L5) - Content and Studio,"c, data science, pytorch, r","c, data science, pytorch, r",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
Machine Learning Engineer (L4/5) - Studio Media Algorithms,"c, c++, computer vision, deep learning, diffusion models, java, machine learning, nlp, python, pytorch, r, scala, software engineering, tensorflow","c, c++, computer vision, deep learning, diffusion models, java, machine learning, nlp, python, pytor...",2,"Cluster 2 (c++, pytorch, c, python, tensorflow)"
Machine Learning Engineer,"c, git, machine learning, neural networks, nlp, r","c, git, machine learning, neural networks, nlp, r",5,"Cluster 5 (aws, nlp, c, r, machine learning)"
Machine Learning Engineer,"agentic frameworks, aws, c, data science, git, java, machine learning, ml-ops, python, pytorch, r, scala, spark, sql, statistical modeling, tensorflow","agentic frameworks, aws, c, data science, git, java, machine learning, ml-ops, python, pytorch, r, s...",6,"Cluster 6 (pytorch, tensorflow, c, machine learning, r)"
