Intern ID,Top Cluster,Top Cluster Role,Missing Skills,Recommended Courses
intern_0001,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","IBM Data Science, Google Data Analytics, IBM Data Analyst"
intern_0002,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0003,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","IBM Data Engineering, Google Data Analytics, IBM Data Science"
intern_0004,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0005,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0006,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","AI For Everyone, Google Data Analytics, Google Project Management:"
intern_0007,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0008,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM & Darden Digital Strategy, Google Data Analytics, Google Project Management:"
intern_0009,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Digital Marketing & E-commerce, Google Data Analytics, Google Project Management:"
intern_0010,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google IT Support, Google IT Support, Google Data Analytics"
intern_0011,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0012,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Applied AI, Google Data Analytics, Google Project Management:"
intern_0013,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0014,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
