course,Skills_Text
Google Cybersecurity,"c, cloud computing, databases, linux, python, r, sql"
Google Data Analytics,"c, data science, data visualization, databases, r, sql, tableau"
Google Project Management:,"agile software development, c, r, software engineering"
Google Digital Marketing & E-commerce,"c, git, r, web development"
Google IT Support,"c, cloud computing, linux, r"
IBM Data Science,"c, cloud computing, data science, data visualization, databases, deep learning, machine learning, python, r, sql"
Google UX Design,"c, r, web development"
IBM Data Analyst,"c, cloud computing, data science, data visualization, databases, machine learning, python, r, sql"
Machine Learning,"c, deep learning, machine learning, neural networks, python, r, tensorflow"
Introduction to Data Science,"c, cloud computing, data science, databases, deep learning, machine learning, python, r, sql"
Generative AI for Everyone,r
IBM DevOps and Software Engineering,"agile software development, c, cloud computing, docker, kubernetes, linux, python, r, software engineering"
IBM Full Stack Software Developer,"c, cloud computing, databases, docker, java, javascript, kubernetes, python, r, software engineering, sql, web development"
Key Technologies for Business,"c, cloud computing, computer vision, data science, deep learning, machine learning, neural networks, r"
Data Science Fundamentals with Python and SQL,"c, cloud computing, data science, databases, python, r, sql"
IBM & Darden Digital Strategy,"c, cloud computing, computer vision, data science, data visualization, databases, deep learning, machine learning, neural networks, python, r, sql"
IBM Data Engineering,"c, cloud computing, data science, data visualization, databases, kubernetes, linux, machine learning, python, r, sql"
IBM Data Analytics with Excel and R,"c, data science, data visualization, databases, machine learning, python, r, sql"
Data Analysis and Visualization Foundations,"c, data science, data visualization, databases, python, r, sql"
Deep Learning,"c, computer vision, deep learning, machine learning, neural networks, python, r, tensorflow"
IBM AI Foundations for Business,"c, cloud computing, computer vision, data science, deep learning, machine learning, neural networks, r"
Data Engineering Foundations,"c, cloud computing, data science, databases, python, r, sql"
IBM Back-End Development,"agile software development, c, cloud computing, databases, docker, kubernetes, linux, python, r, software engineering, sql, web development"
Applied Data Science,"c, data science, data visualization, machine learning, python, r"
IBM Applied AI,"c, cloud computing, computer vision, data science, deep learning, machine learning, neural networks, python, r"
Excel Skills for Business,"c, data visualization, databases, r"
Applied Software Engineering Fundamentals,"agile software development, c, linux, python, r, software engineering"
Generative AI with Large Language Models,"c, machine learning, python, r"
Google Advanced Data Analytics,"c, machine learning, python, r, tableau"
"DevOps, Cloud, and Agile Foundations","agile software development, c, cloud computing, r, software engineering"
Meta Front-End Developer,"c, css, html, java, javascript, linux, r, software engineering, web development"
Cloud Application Development Foundations,"c, cloud computing, java, javascript, r, sql, web development"
Foundations of Project Management,"c, r"
Foundations of Cybersecurity,"c, linux, r, sql"
IBM IT Support,"c, cloud computing, databases, r, software engineering"
"Foundations: Data, Data, Everywhere","c, data science, data visualization, databases, r, sql"
IBM IT Project Manager,"agile software development, c, cloud computing, python, r, software engineering"
Google IT Automation with Python,"c, cloud computing, python, r"
Information Technology (IT) and Cloud Fundamentals,"c, cloud computing, databases, r, software engineering"
Prompt Engineering,"c, r"
Microsoft Power BI Data Analyst,"c, power bi, r, sql"
IBM Data Warehouse Engineer,"c, cloud computing, data science, databases, linux, python, r, sql"
IBM Cybersecurity Analyst,"c, cloud computing, databases, linux, python, r, sql"
AI For Everyone,"c, data science, deep learning, machine learning, neural networks, r"
Supervised Machine Learning: Regression and Classification,"c, machine learning, python, r"
IBM DevOps and Software Engineering,
IBM Front-End Developer,"agile software development, c, cloud computing, java, javascript, python, r, software engineering, sql, web development"
Technical Support Fundamentals,"c, r"
Business Foundations,"c, git, r"
"BI Foundations with SQL, ETL and Data Warehousing","c, cloud computing, databases, linux, python, r, sql"
AI Foundations for Everyone,"c, cloud computing, computer vision, data science, deep learning, machine learning, neural networks, r"
IBM IT Scrum Master,"agile software development, c, cloud computing, python, r, software engineering"
IBM Project Manager,"agile software development, c, r, software engineering"
IBM Applied DevOps Engineering,"agile software development, c, cloud computing, docker, kubernetes, r, software engineering"
IBM AI Engineering,"c, computer vision, data science, data visualization, deep learning, machine learning, neural networks, python, r, tensorflow"
IT Fundamentals for Cybersecurity,"c, cloud computing, databases, linux, r, sql"
Mathematics for Machine Learning and Data Science,"c, machine learning, neural networks, python, r"
Python for Everybody,"c, css, data visualization, databases, html, python, r, software engineering, sql, web development"
Meta React Native,"agile software development, c, css, html, java, javascript, linux, r, software engineering, sql, web development"
Project Execution: Running the Project,"c, r"
Tableau Public for Project Management and Beyond,
Meta Social Media Marketing,"c, git, r"
Foundations of Digital Marketing and E-commerce,"c, git, r"
Prompt Engineering for ChatGPT,"c, r"
Finance & Quantitative Modeling for Analysts,"c, r"
Introduction to Finance and Accounting,"c, r"
AI in Healthcare,"c, machine learning, r"
Machine Learning Engineering for Production (MLOps),"c, cloud computing, deep learning, feature engineering, kubernetes, machine learning, python, r, tensorflow"
Play It Safe: Manage Security Risks,r
Python 3 Programming,"c, python, r"
Natural Language Processing,"c, deep learning, machine learning, neural networks, python, r"
DeepLearning.AI TensorFlow Developer,"c, computer vision, data visualization, deep learning, machine learning, neural networks, python, r, tensorflow"
