Intern ID,Skills_Text
intern_0001,"deep learning, ms-excel, ms-word, mysql, python, sql, deep learning low, python low"
intern_0002,"adobe after effects, adobe illustrator, adobe photoshop, amazon web services (aws), angularjs, c programming, c++ programming, css, data analytics, data science, data structures, database management system (dbms), database testing, docker, figma, firebase, git, github, google cloud computing, html, java, javascript, linux, ms-excel, mongodb, node.js, postman, python, rest api, reactjs, sql, selenium, typescript, python medium"
intern_0003,"amazon web services (aws), docker, hadoop, ms-excel, machine learning, power bi, python, sql, machine learning medium, python medium"
intern_0004,"adobe photoshop, adobe xd, amazon web services (aws), big data analytics, c++ programming, canva, computer vision, data analytics, data science, data structures, figma, ms-excel, ms-powerpoint, machine learning, natural language processing (nlp), python, sql, tableau, machine learning medium, nlp medium, python high"
intern_0005,"c++ programming, data science, machine learning, python, machine learning medium, python medium"
intern_0006,"artificial intelligence, data analytics, data science, deep learning, ms-excel, machine learning, neural networks, python, r programming, statistical modeling, deep learning medium, machine learning medium, python medium"
intern_0007,"c++ programming, css, data analytics, data science, google analytics, html, ms-excel, machine learning, natural language processing (nlp), python, sql, machine learning low, nlp medium, python medium"
intern_0008,"atmel avr, computer vision, data analytics, data science, deep learning, ms-excel, machine learning, power bi, python, raspberry pi, sql, deep learning low, machine learning medium, python medium"
intern_0009,"artificial intelligence, c++ programming, data analytics, data science, data structures, database management system (dbms), git, github, java, machine learning, natural language processing (nlp), python, sql, machine learning low, nlp low, python medium"
intern_0010,"android, artificial intelligence, c programming, c++ programming, cloud computing, data analytics, data science, data structures, database management system (dbms), deep learning, german proficiency (spoken), java, linux, machine learning, neural networks, python, sql, sqlite, deep learning low, machine learning medium, python medium"
intern_0011,"ms-excel, ms-powerpoint, power bi, python, r programming, visual basic (vb), python medium"
intern_0012,"artificial intelligence, c++ programming, computer vision, data analytics, data science, data structures, deep learning, ms-excel, machine learning, mysql, python, deep learning low, machine learning medium, python medium"
intern_0013,"data analytics, data science, database management system (dbms), ms-excel, machine learning, python, sql, machine learning low, python low"
intern_0014,"data analytics, ms-excel, machine learning, python, sql, machine learning medium, python medium"
intern_0015,"css, data analytics, data science, database management system (dbms), html, java, ms-excel, machine learning, mysql, power bi, python, tableau, machine learning low, python low"
intern_0016,"apache, blogging, c programming, computer vision, creative writing, data analytics, data science, data structures, database management system (dbms), deep learning, english proficiency (spoken), english proficiency (written), figma, java, ms sql server, ms-excel, ms-office, ms-powerpoint, ms-word, machine learning, natural language processing (nlp), python, sql, search engine optimization (seo), social media marketing, ui & ux design, user interface (ui) development, video editing, deep learning medium, machine learning medium, nlp low, python medium"
intern_0017,software testing
intern_0018,"big data analytics, java, machine learning, python, sql, unix, machine learning medium, python medium"
intern_0019,"css, data analytics, html, java, machine learning, machine learning medium"
intern_0020,"c++ programming, computer networks, data analytics, data science, ms-excel, machine learning, python, machine learning medium, python medium"
intern_0021,"data analytics, deep learning, flask, image processing, ms-excel, machine learning, mysql, natural language processing (nlp), power bi, python, tableau, deep learning high, machine learning high, nlp high, python high"
intern_0022,"artificial intelligence, data analytics, machine learning, microsoft azure, r programming, machine learning low, python medium"
intern_0023,"data analytics, data science, deep learning, ms-excel, machine learning, power bi, python, sql, deep learning low, machine learning medium, python medium"
intern_0024,"algorithms, android, artificial intelligence, blender 3d, c programming, c#.net, c++ programming, css, chemistry, computer vision, data analytics, data science, data structures, deep learning, django, english proficiency (spoken), english proficiency (written), html, ms-excel, ms-office, machine learning, mathematics, mongodb, natural language processing (nlp), physics, python, sql, tableau, unity 3d, unity engine, deep learning low, machine learning medium, nlp medium, python medium"
intern_0025,"accounting, english proficiency (spoken), ms-excel, ms-office"
intern_0026,"algorithms, c++ programming, computer vision, data analytics, data structures, english proficiency (spoken), english proficiency (written), machine learning, natural language processing (nlp), python, machine learning medium, nlp low, python medium"
intern_0027,"ms-excel, machine learning, mysql, natural language processing (nlp), python, r programming, sql, machine learning medium, nlp medium, python medium"
intern_0028,"data analytics, ms-excel, machine learning, python, sql, statistics, tableau, machine learning low, python medium"
intern_0029,"amazon web services (aws), artificial intelligence, java, machine learning, python, machine learning medium, python medium"
intern_0030,"amazon web services (aws), blockchain, c programming, css, cloud computing, computer networking, deep learning, flutter, internet of things (iot), java, machine learning, mysql, natural language processing (nlp), php, python, sql, deep learning low, machine learning medium, nlp low, python medium"
intern_0031,"amazon web services (aws), artificial intelligence, data science, database management system (dbms), deep learning, html, machine learning, mysql, natural language processing (nlp), python, sql, tableau, deep learning medium, machine learning medium, nlp medium, python low"
intern_0032,"autocad, data analytics, data science, deep learning, english proficiency (spoken), english proficiency (written), ms-excel, ms-office, machine learning, natural language processing (nlp), project management, python, spss, sql, statistical modeling, statistics, tableau, deep learning low, machine learning low, nlp low, python low"
intern_0033,"c++ programming, data analytics, deep learning, machine learning, power bi, robotic process automation (rpa), sql, tableau, deep learning medium, machine learning medium, python high"
intern_0034,"data science, python, python medium"
intern_0035,"computer vision, data analytics, data science, data structures, database management system (dbms), deep learning, english proficiency (spoken), english proficiency (written), gnu octave, hadoop, ms-excel, ms-office, machine learning, natural language processing (nlp), neural networks, nosql, opencv, power bi, python, r programming, sql, tableau, deep learning medium, machine learning medium, nlp medium, python high"
intern_0036,"artificial intelligence, css, data structures, deep learning, html, java, javascript, machine learning, natural language processing (nlp), python, sql, deep learning low, machine learning low, nlp medium, python low"
intern_0037,"amazon web server (aws), amazon web services (aws), c programming, css, computer vision, data analytics, data science, data structures, database management system (dbms), deep learning, django, flask, html, java, javascript, ms-excel, machine learning, natural language processing (nlp), power bi, python, r programming, sql, statistics, deep learning high, machine learning medium, nlp high, python high"
intern_0038,"css, data analytics, deep learning, html, machine learning, neural networks, python, deep learning low, machine learning medium, python medium"
intern_0039,"data science, python, sql, python medium"
intern_0040,"data analytics, data science, data structures, database management system (dbms), machine learning, python, tableau, machine learning medium, python medium"
intern_0041,"c++ programming, css, data analytics, data science, django, flask, html, machine learning, natural language processing (nlp), php, python, sql, machine learning low, nlp low, python medium"
intern_0042,"c++ programming, data science, data structures, database management system (dbms), deep learning, machine learning, python, deep learning high, machine learning high, python medium"
intern_0043,"data analytics, database management system (dbms), english proficiency (written), ms-excel, machine learning, python, sql, statistics, tableau, machine learning low, python medium"
intern_0044,"c#, c++ programming, english proficiency (written), html, internet of things (iot), javascript, ms-excel, ms-office, social media marketing, software testing"
intern_0045,"autocad, c programming, c++ programming, english proficiency (spoken), english proficiency (written), ms-excel, machine learning, python, machine learning low, python medium"
intern_0046,"accounting, algorithms, business analysis, computer vision, data analytics, data science, data structures, database management system (dbms), deep learning, english proficiency (spoken), english proficiency (written), financial modeling, financial literacy, investing, ms-excel, ms-office, ms-word, machine learning, natural language processing (nlp), neural networks, power bi, python, research and analytics, sql, stock trading, tableau, tally, deep learning medium, machine learning medium, nlp medium, python medium"
intern_0047,
intern_0048,"data analytics, data science, ms-excel, machine learning, python, research and analytics, sql, tableau, machine learning low, python medium"
intern_0049,"data analytics, data science, ms-excel, machine learning, python, sql, tableau, machine learning medium, python medium"
intern_0050,"data analytics, image processing, ms-excel, ms-office, machine learning, python, r programming, sql, machine learning low, python low"
intern_0051,"artificial intelligence, machine learning, natural language processing (nlp), sql, machine learning medium, nlp low, python high"
intern_0052,"ms-excel, machine learning, natural language processing (nlp), power bi, python, sql, tableau, machine learning medium, nlp low, python medium"
intern_0053,"computer vision, data analytics, data science, data structures, database management system (dbms), english proficiency (spoken), english proficiency (written), french proficiency (spoken), hindi proficiency (spoken), hindi proficiency (written), image processing, java, javafx, javascript, ms-excel, machine learning, malayalam proficiency (spoken), malayalam proficiency (written), nosql, power bi, python, r programming, sql, tableau, tamil proficiency (spoken), machine learning medium, python medium"
intern_0054,"css, digital marketing, english proficiency (spoken), english proficiency (written), html, javascript, machine learning, natural language processing (nlp), python, search engine marketing (sem), search engine optimization (seo), wordpress, machine learning low, nlp low, python medium"
intern_0055,"android, artificial intelligence, c++ programming, css, html, javascript, machine learning, mysql, natural language processing (nlp), node.js, python, machine learning low, nlp low, python medium"
intern_0056,"data science, data structures, python, python medium"
intern_0057,"c programming, c++ programming, css, data science, html, java, javascript, machine learning, opencv, python, sql, machine learning medium, python medium"
intern_0058,"data analytics, data science, english proficiency (spoken), english proficiency (written), ms-excel, machine learning, natural language processing (nlp), python, sql, tableau, machine learning medium, nlp medium, python medium"
intern_0059,"english proficiency (spoken), english proficiency (written), machine learning, online teaching, power bi, python, sql, statistics, teaching, machine learning high, python high"
intern_0060,"c++ programming, digital marketing, english proficiency (spoken), english proficiency (written), ms-excel, ms-office, ms-powerpoint, ms-word, sql"
intern_0061,"ms-excel, mysql, python, r programming, tableau, python medium"
intern_0062,"algorithms, artificial intelligence, data analytics, data science, data structures, deep learning, git, github, ms-excel, machine learning, mysql, python, deep learning low, machine learning low, python medium"
intern_0063,"c programming, css, creative writing, data science, english proficiency (spoken), english proficiency (written), html, java, ms-excel, ms-word, power bi, python, sql, social media marketing, python medium"
intern_0064,"c programming, css, data structures, html, java, machine learning, python, machine learning medium, python medium"
intern_0065,"arduino, embedded systems, html, python, vlsi, python low"
intern_0066,
intern_0067,"amazon web server (aws), amazon web services (aws), cloud computing, data structures, github, google cloud computing, java, linux, mongodb, python, sql, spring mvc, python medium"
intern_0068,"business analysis, data science, deep learning, english proficiency (spoken), english proficiency (written), ms-excel, ms-office, machine learning, natural language processing (nlp), neural networks, power bi, product lifecycle management(plm), project management, python, research and analytics, sql, tableau, deep learning medium, machine learning medium, nlp medium, python medium"
intern_0069,"cloud computing, data analytics, deep learning, machine learning, natural language processing (nlp), python, statistics, deep learning low, machine learning medium, nlp medium, python medium"
intern_0070,"amazon web services (aws), artificial intelligence"
intern_0071,"data science, deep learning, machine learning, python, sql, statistics, deep learning low, machine learning medium, python low"
intern_0072,"css, creative writing, data analytics, data science, deep learning, email marketing, english proficiency (spoken), english proficiency (written), facebook marketing, java, ms-excel, ms-office, machine learning, mysql, power bi, python, research and analytics, sql, search engine marketing (sem), search engine optimization (seo), social media marketing, tableau, deep learning low, machine learning low, python medium"
intern_0073,"apache kafka, hadoop, python, sql, sqlite, python low"
intern_0074,"machine learning, python, sql, statistics, machine learning low, python low"
intern_0075,"c++ programming, machine learning, python, r programming, sql, machine learning low, python low"
intern_0076,".net, arm microcontroller, amazon web services (aws), arduino, atmel avr, c programming, c++ programming, css, canva, circuit design, cloud computing, computer vision, content writing, data analytics, data science, data structures, database management system (dbms), deep learning, django, eclipse (ide), effective communication, embedded systems, engineering drawing, english proficiency (spoken), english proficiency (written), flask, flutter, google cloud computing, html, hadoop, image processing, internet of things (iot), java, mean/mern stack, ms sql server, ms-excel, ms-office, ms-powerpoint, ms-word, machine learning, microsoft azure, microsoft visual studio, mongodb, natural language processing (nlp), neural networks, node.js, online teaching, pcb design, plc scada, python, r programming, rest api, raspberry pi, reactjs, robotics, sql, sqlite, software testing, swing (java), teaching, ui & ux design, deep learning low, machine learning low, nlp low, python medium"
intern_0077,"devops, machine learning, python, machine learning medium, python medium"
intern_0078,"data analytics, ms-excel, machine learning, mysql, power bi, python, machine learning medium, python medium"
intern_0079,"data analytics, deep learning, machine learning, python, deep learning medium, machine learning medium, python medium"
intern_0080,"machine learning, python, machine learning medium, python medium"
intern_0081,"artificial intelligence, data analytics, data science, database management system (dbms), machine learning, mongodb, python, sql, machine learning low, python low"
intern_0082,"data science, deep learning, ms-excel, machine learning, mysql, python, tableau, deep learning low, machine learning medium, python low"
intern_0083,"android, blockchain, c programming, c#, c++ programming, css, computer networking, data analytics, data structures, database management system (dbms), django, git, github, html, internet of things (iot), java, javascript, linux, machine learning, mysql, node.js, online teaching, php, python, react native, ruby on rails, sql, machine learning high, python high"
intern_0084,"autocad, c programming, english proficiency (spoken), english proficiency (written), matlab, ms-excel, ms-office, power bi, python, sql, tableau, python low"
intern_0085,"data analytics, data science, deep learning, machine learning, mysql, python, deep learning medium, machine learning medium, python medium"
intern_0086,"c programming, creative writing, html, java, machine learning, python, machine learning low, python medium"
intern_0087,"artificial intelligence, data analytics, data science, deep learning, firebase, machine learning, python, selenium, deep learning medium, machine learning high, python high"
intern_0088,"eclipse (ide), java, jira, manual testing, postman, python, selenium, python low"
intern_0089,"data analytics, data science, ms-excel, machine learning, python, machine learning low, python medium"
intern_0090,"android, computer vision, data science, deep learning, firebase, flask, flutter, java, kotlin, machine learning, mysql, natural language processing (nlp), opencv, python, deep learning medium, machine learning medium, nlp medium, python medium"
intern_0091,"computer vision, content writing, data science, deep learning, ms-excel, machine learning, mysql, power bi, python, sql, deep learning medium, machine learning medium, python medium"
intern_0092,"bootstrap, c programming, css, data science, data structures, django, english proficiency (written), github, html, javascript, ms-excel, machine learning, node.js, python, reactjs, wordpress, machine learning low, python medium"
intern_0093,"algorithms, amazon web services (aws), c++ programming, css, computer vision, data structures, deep learning, django, git, github, html, javascript, machine learning, mysql, natural language processing (nlp), opencv, python, reactjs, deep learning medium, machine learning medium, nlp medium, python high"
intern_0094,"english proficiency (spoken), ms-office, python, python high"
intern_0095,"android, firebase, java, rest api, python medium"
intern_0096,
intern_0097,"digital signal processing, embedded systems, internet of things (iot), java, ms-excel, python, python low"
intern_0098,"canva, data analytics, data science, java, latex, ms-excel, ms-office, ms-powerpoint, ms-word, machine learning, python, r programming, sql, machine learning medium, python medium"
intern_0099,"c++ programming, css, html, javascript, mean/mern stack, python, reactjs, tableau, video editing, video making, python high"
intern_0100,"data science, data structures, deep learning, django, matlab, machine learning, natural language processing (nlp), power bi, sql, tableau, deep learning low, machine learning low, nlp low, python high"
intern_0101,"artificial intelligence, machine learning, python, machine learning medium, python low"
intern_0102,"c programming, c++ programming, java, ms-excel, python, python medium"
intern_0103,"computer vision, deep learning, machine learning, natural language processing (nlp), python, statistics, deep learning medium, machine learning high, nlp medium, python medium"
intern_0104,"algorithms, computer vision, data analytics, data science, deep learning, english proficiency (spoken), english proficiency (written), ms-excel, ms-office, ms-powerpoint, ms-word, machine learning, mysql, pcb soldering, physics, power bi, python, research and analytics, sql, deep learning low, machine learning low, python medium"
intern_0105,"c programming, data science, data structures, deep learning, java, ms-excel, machine learning, python, sql, deep learning medium, machine learning medium, python medium"
intern_0106,"amazon web services (aws), computer networking, computer vision, data analytics, data science, deep learning, digital signal processing, english proficiency (spoken), english proficiency (written), java, javascript, matlab, ms-excel, machine learning, mathematics, natural language processing (nlp), opencv, python, r programming, sql, sqlite, deep learning medium, machine learning high, nlp low, python high"
intern_0107,"amazon web server (aws), amazon web services (aws), angularjs, artificial intelligence, blockchain, bootstrap, c#, css, cloud computing, deep learning, django, express.js, flask, html, java, javascript, linux, mean/mern stack, machine learning, mongodb, mysql, natural language processing (nlp), neural networks, next.js, nosql, node.js, python, reactjs, redux, sql, solidity, unity 3d, unreal engine, deep learning medium, machine learning high, nlp medium, python high"
intern_0108,"asp.net, angular 2.0, bootstrap, c#.net, css, data analytics, html, javascript, postman, python, rest api, xml, python medium"
intern_0109,"bootstrap, c++ programming, css, english proficiency (spoken), english proficiency (written), html, javascript, ms-excel, ms-powerpoint, ms-word, machine learning, python, sql, machine learning low, python low"
intern_0110,
intern_0111,"content writing, english proficiency (written), research and analytics"
intern_0112,"canva, figma"
intern_0113,"html, java, ms-excel, ms-word, python, python low"
intern_0114,"deep learning, latex, ms-excel, machine learning, python, deep learning low, machine learning medium, python medium"
intern_0115,"c programming, java, python, sql, salesforce, tableau, python medium"
intern_0116,"algorithms, computer vision, data analytics, data science, data structures, deep learning, ms-excel, machine learning, mysql, natural language processing (nlp), neural networks, postgresql, python, sql, deep learning medium, machine learning medium, nlp low, python medium"
intern_0117,"artificial intelligence, business analysis, computer vision, data analytics, data science, deep learning, english proficiency (spoken), github, image processing, ms-excel, ms-office, ms-powerpoint, ms-word, machine learning, mysql, natural language processing (nlp), neural networks, power bi, project management, python, research and analytics, sql, statistical modeling, tableau, video editing, deep learning medium, machine learning high, nlp high, python high"
intern_0118,"data analytics, data science, english proficiency (spoken), english proficiency (written), financial literacy, hindi proficiency (spoken), hindi proficiency (written), ms-excel, ms-office, ms-powerpoint, ms-word, machine learning, python, sql, machine learning medium, python medium"
intern_0119,"data analytics, data structures, ms-excel, mysql, power bi, python, python medium"
intern_0120,"java, ms-excel, machine learning, python, sql, machine learning medium, python medium"
intern_0121,"english proficiency (spoken), english proficiency (written), hindi proficiency (spoken), hindi proficiency (written), ms-powerpoint, machine learning, mysql, python, telugu proficiency (spoken), machine learning medium, python medium"
intern_0122,"adobe photoshop, css, digital advertising, digital art, digital marketing, embedded systems, english proficiency (spoken), english proficiency (written), html, java, ms-excel, machine learning, python, wordpress, machine learning low, python medium"
intern_0123,"c programming, c++ programming, css, data analytics, html, power bi, python, sql, python medium"
intern_0124,"data analytics, data science, google analytics, ms-excel, machine learning, python, sql, machine learning medium, python high"
intern_0125,"computer vision, data analytics, english proficiency (spoken), english proficiency (written), hindi proficiency (spoken), hindi proficiency (written), ms-excel, ms-word, machine learning, mathematics, natural language processing (nlp), power bi, python, sql, machine learning medium, nlp low, python low"
intern_0126,"artificial intelligence, css, database management system (dbms), html, javascript, python, sql, python high"
intern_0127,"ms sql server, ms-office, ms-word, manual testing, postman, quality assurance/quality control (qa/qc)"
intern_0128,"bootstrap, css, data science, deep learning, django, flask, github, html, ms-excel, machine learning, mongodb, mysql, natural language processing (nlp), postman, python, sql, deep learning medium, machine learning medium, nlp medium, python high"
intern_0129,"amazon web server (aws), analog and digital circuits, arduino, artificial intelligence, c programming, c#, data science, data structures, django, english proficiency (spoken), english proficiency (written), internet of things (iot), ms-powerpoint, ms-word, mysql, python, raspberry pi, python medium"
intern_0130,"data science, data structures, deep learning, java, machine learning, microsoft powerapps, neural networks, python, deep learning medium, machine learning medium, python medium"
intern_0131,"analog and digital circuits, arduino, c programming, c#, c++ programming, computer vision, deep learning, digital signal processing, embedded systems, internet of things (iot), matlab, ms-excel, machine learning, python, r programming, raspberry pi, vlsi, verilog, deep learning high, machine learning low, python medium"
intern_0132,"english proficiency (spoken), english proficiency (written), ms-excel, ms-word"
intern_0133,"html, java, linux, software testing"
intern_0134,"artificial intelligence, computer vision, data analytics, database management system (dbms), deep learning, java, ms-excel, ms-office, ms-word, machine learning, natural language processing (nlp), python, r programming, sql, deep learning low, machine learning low, nlp low, python medium"
intern_0135,"c programming, c++ programming, data structures, english proficiency (spoken), english proficiency (written)"
intern_0136,"data analytics, data science, ms-excel, ms-office, machine learning, mathematics, postgresql, r programming, spss, sql, tableau, machine learning medium, python high"
intern_0137,"artificial intelligence, c programming, database management system (dbms), deep learning, java, machine learning, python, deep learning low, machine learning low, python low"
intern_0138,"artificial intelligence, english proficiency (spoken), english proficiency (written), machine learning, mathematics, python, machine learning high, python medium"
intern_0139,"business analysis, data analytics, data science, database management system (dbms), machine learning, mysql, python, research and analytics, statistical modeling, statistics, machine learning medium, python medium"
intern_0140,"data analytics, data science, deep learning, ms-excel, machine learning, natural language processing (nlp), python, sql, tableau, deep learning medium, machine learning medium, nlp medium, python medium"
intern_0141,"bootstrap, c programming, css, data structures, database management system (dbms), django, html, java, javascript, ms-office, machine learning, python, jquery, machine learning low, python medium"
intern_0142,"c programming, c++ programming, computer vision, deep learning, machine learning, natural language processing (nlp), neural networks, opencv, python, deep learning low, machine learning medium, nlp medium, python medium"
intern_0143,"c programming, content writing, creative writing, data analytics, data science, database management system (dbms), deep learning, english proficiency (spoken), english proficiency (written), github, ms-excel, machine learning, mysql, natural language processing (nlp), neural networks, python, r programming, research and analytics, deep learning low, machine learning medium, nlp low, python medium"
intern_0144,"c programming, c++ programming, data analytics, data science, data structures, image processing, matlab, ms-office, machine learning, natural language processing (nlp), neural networks, python, research and analytics, sql, visual basic (vb), machine learning medium, nlp low, python high"
intern_0145,"css, flutter, html, java, python, python medium"
intern_0146,"biology, c programming, chemistry, client relationship, creative writing, email marketing, english proficiency (spoken), english proficiency (written), hindi proficiency (spoken), java, ms-excel, ms-office, physics, python, social media marketing, subject matter expert (sme), python medium"
intern_0147,"artificial intelligence, data analytics, data science, deep learning, google analytics, ms-excel, ms-powerpoint, ms-word, machine learning, python, sql, search engine optimization (seo), tableau, deep learning medium, machine learning medium, python medium"
intern_0148,"data analytics, machine learning, machine learning low, python medium"
intern_0149,"algorithms, blender 3d, blockchain, c programming, c++ programming, css, computer vision, data analytics, data science, data structures, database management system (dbms), deep learning, django, english proficiency (spoken), english proficiency (written), github, html, java, javascript, linux, ms sql server, ms-office, machine learning, mysql, natural language processing (nlp), php, python, r programming, sql, wordpress, deep learning low, machine learning medium, nlp medium, python high"
intern_0150,
intern_0151,"bootstrap, c programming, c++ programming, css, computer networks, computer vision, data analytics, data science, data structures, database management system (dbms), deep learning, django, english proficiency (spoken), english proficiency (written), git, git bash, html, hindi proficiency (spoken), image processing, jsp, java, javascript, matlab, machine learning, microsoft azure, mysql, php, python, sql, servlets, visual basic (vb), xml, deep learning medium, machine learning medium, python medium"
intern_0152,
intern_0153,"data structures, machine learning, machine learning medium"
intern_0154,
intern_0155,"data analytics, english proficiency (spoken), english proficiency (written), event management, ms sql server, ms-excel, ms-powerpoint, python, tableau, python medium"
intern_0156,"android, artificial intelligence, flutter, python, python medium"
intern_0157,artificial intelligence
